ddodyear,censuscode,deathcount
2022,4670,10
2022,4680,2
2022,4690,5
2022,4770,4
2022,4795,1
2022,4870,5
2022,4880,4
2022,4890,1
2022,4971,20
2022,4972,1
2022,4980,4
2022,4990,1
2022,5070,3
2022,5090,8
2022,5170,2
2022,5180,1
2022,5190,1
2022,5275,2
2022,5280,2
2022,5370,2
2022,5381,2
2022,5470,6
2022,5490,1
2022,5570,1
2022,5580,1
2022,5593,1
2022,5690,2
2022,5790,52
2022,6070,9
2022,6080,10
2022,6090,4
2022,6170,35
2022,6180,7
2022,6190,6
2022,6290,18
2022,6370,19
2022,6380,2
2022,6390,11
2022,6470,2
2022,6480,4
